EDAD,NIVEL_ACADEMICO,DISPOSITIVO_PRINCIPAL_PARA_CLASES
15,Secundaria,Computadora port�til (laptop o notebook)
15,Secundaria,Celular inteligente (Smartphone)
8,Primaria,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
8,Primaria,Tablet (pantalla t�ctil)
10,Primaria,Tablet (pantalla t�ctil)
25,Licenciatura o profesional,Tablet (pantalla t�ctil)
5,Preescolar,Computadora port�til (laptop o notebook)
9,Primaria,Tablet (pantalla t�ctil)
12,Primaria,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Celular inteligente (Smartphone)
22,Licenciatura o profesional,Celular inteligente (Smartphone)
7,Preescolar,Computadora port�til (laptop o notebook)
14,Ninguno,Celular inteligente (Smartphone)
18,Preparatoria o bachillerato,Computadora de escritorio
6,Primaria,Celular inteligente (Smartphone)
13,Secundaria,Celular inteligente (Smartphone)
14,Secundaria,Computadora port�til (laptop o notebook)
5,Preescolar,Televisi�n digital (pantalla plana)
18,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
14,Secundaria,Computadora port�til (laptop o notebook)
18,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
24,Licenciatura o profesional,Computadora port�til (laptop o notebook)
19,Licenciatura o profesional,Computadora port�til (laptop o notebook)
14,Secundaria,Celular inteligente (Smartphone)
20,Preparatoria o bachillerato,Celular inteligente (Smartphone)
11,Primaria,Celular inteligente (Smartphone)
15,Secundaria,Computadora port�til (laptop o notebook)
14,Secundaria,Celular inteligente (Smartphone)
13,Secundaria,Celular inteligente (Smartphone)
21,Licenciatura o profesional,Computadora port�til (laptop o notebook)
22,Licenciatura o profesional,Computadora port�til (laptop o notebook)
18,Preparatoria o bachillerato,Celular inteligente (Smartphone)
20,Preparatoria o bachillerato,Celular inteligente (Smartphone)
5,Ninguno,Televisi�n digital (pantalla plana)
8,Preescolar,Celular inteligente (Smartphone)
10,Preescolar,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Computadora de escritorio
10,Primaria,Televisi�n digital (pantalla plana)
5,Preescolar,Celular inteligente (Smartphone)
8,Primaria,Celular inteligente (Smartphone)
12,Primaria,Celular inteligente (Smartphone)
20,Licenciatura o profesional,Celular inteligente (Smartphone)
8,Primaria,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
18,Preparatoria o bachillerato,Celular inteligente (Smartphone)
25,Licenciatura o profesional,Computadora de escritorio
7,Primaria,Celular inteligente (Smartphone)
7,Primaria,Celular inteligente (Smartphone)
11,Primaria,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Celular inteligente (Smartphone)
19,Licenciatura o profesional,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
22,Licenciatura o profesional,Computadora port�til (laptop o notebook)
21,Licenciatura o profesional,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Computadora de escritorio
21,Licenciatura o profesional,Computadora port�til (laptop o notebook)
24,Licenciatura o profesional,Celular inteligente (Smartphone)
20,Licenciatura o profesional,Computadora port�til (laptop o notebook)
24,Licenciatura o profesional,Computadora port�til (laptop o notebook)
12,Primaria,Computadora port�til (laptop o notebook)
15,Preparatoria o bachillerato,Celular inteligente (Smartphone)
12,Primaria,Celular inteligente (Smartphone)
15,Primaria,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Celular inteligente (Smartphone)
9,Primaria,Celular inteligente (Smartphone)
13,Secundaria,Celular inteligente (Smartphone)
14,Secundaria,Computadora port�til (laptop o notebook)
16,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
5,Preescolar,Celular inteligente (Smartphone)
5,Preescolar,Televisi�n digital (pantalla plana)
8,Primaria,Celular inteligente (Smartphone)
16,Secundaria,Celular inteligente (Smartphone)
16,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
21,Licenciatura o profesional,Computadora port�til (laptop o notebook)
5,Preescolar,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
7,Primaria,Celular inteligente (Smartphone)
11,Primaria,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
12,Primaria,Celular inteligente (Smartphone)
13,Secundaria,Celular inteligente (Smartphone)
22,Preparatoria o bachillerato,Celular inteligente (Smartphone)
13,Secundaria,Televisi�n digital (pantalla plana)
