SEXO,EDAD
Hombre,8
Hombre,10
Mujer,12
Hombre,21
Mujer,19
Hombre,21
Hombre,29
Mujer,11
Hombre,3
Hombre,6
Mujer,22
Hombre,24
Hombre,27
Hombre,27
Mujer,26
Mujer,19
Hombre,24
Mujer,11
Hombre,16
Hombre,3
Mujer,8
Hombre,27
Hombre,7
Mujer,14
Mujer,21
Hombre,26
Hombre,29
Mujer,5
Mujer,23
Hombre,23
Mujer,26
Hombre,26
Mujer,9
Mujer,24
Hombre,26
Mujer,28
Mujer,24
Hombre,26
Mujer,24
Mujer,7
Hombre,9
Mujer,3
Hombre,8
